topo_order	cluster	cxx_symbol	cxx_file_line	est_cj_loc	selfhost_dependencies	schema_output	le_40	implementation_note
010	id	CHIRSerializerImpl::GetId<T,E>(vector<E*>)	src/CHIR/Serializer/CHIRSerializer.cpp:42-50	9	identity-preserving GetId<T>; ArrayList	uint32 ID vector	yes	Pointer identity is a hard prerequisite, not value equality.
011	id	CHIRSerializerImpl::GetId<T,E>(vector<Ptr<E>>)	src/CHIR/Serializer/CHIRSerializer.cpp:52-61	10	identity-preserving GetId<T>; ArrayList	uint32 ID vector	yes	Same order as input vector.
012	id	CHIRSerializerImpl::GetId<T,E>(unordered_set<E*>)	src/CHIR/Serializer/CHIRSerializer.cpp:63-72	10	identity-preserving GetId<T>; HashSet	uint32 ID vector	yes	Preserves C++ unordered-set iteration behavior; do not sort unless C++ changes.
020	id	CHIRSerializerImpl::GetId(Value*)	src/CHIR/Serializer/CHIRSerializer.cpp:74-83	10	identity map; valueQueue; allValue/valueKind	Value pool ID	yes	0 is null; first sight allocates 1-based ID, placeholder, tag, and deque entry.
021	id	CHIRSerializerImpl::GetId(Type*)	src/CHIR/Serializer/CHIRSerializer.cpp:85-94	10	identity map; typeQueue; allType/typeKind	Type pool ID	yes	0 is null; first sight enqueues.
022	id	CHIRSerializerImpl::GetId(Expression*)	src/CHIR/Serializer/CHIRSerializer.cpp:96-105	10	identity map; exprQueue; allExpression/exprKind	Expression pool ID	yes	0 is null; first sight enqueues.
023	id	CHIRSerializerImpl::GetId(CustomTypeDef*)	src/CHIR/Serializer/CHIRSerializer.cpp:107-116	10	identity map; defQueue; allCustomTypeDef/defKind	Def pool ID	yes	0 is null; first sight enqueues on deque.
030	fb_helpers	CHIRSerializerImpl::SerializeSetToVec<FBT,T>	src/CHIR/Serializer/CHIRSerializer.cpp:119-128	10	generated Create* bindings; FlatBufferOffset	offset vector	yes	Serializes set iteration order without sorting.
031	fb_helpers	CHIRSerializerImpl::SerializeVec<FBT,T>	src/CHIR/Serializer/CHIRSerializer.cpp:130-138	9	generated Create* bindings; FlatBufferOffset	offset vector	yes	Serializes source vector order.
040	core	CHIRSerializerImpl::Serialize(DebugLocation)	src/CHIR/Serializer/CHIRSerializer.cpp:140-149	10	FlatBufferBuilder; CreatePos; CreateDebugLocation	Pos; DebugLocation	yes	Build beginPos, endPos, then DebugLocation(filePath,fileId,beginPos,endPos,scope).
041	core	CHIRSerializerImpl::Serialize(AnnoInfo)	src/CHIR/Serializer/CHIRSerializer.cpp:151-166	16	Serialize(DebugLocation); shared strings; offset vectors	CustomAnnoInstance; AnnoInfo	yes	Each instance creates shared arg strings and loc; empty vectors become null.
042	core	Empty(Annotation*)	src/CHIR/Serializer/CHIRSerializer.cpp:168-170	3	Annotation	none	yes	Intentional no-op for omitted AnnoFactoryInfo and bodyless WrappedRawMethod.
043	core	CHIRSerializerImpl::Serialize(Base)	src/CHIR/Serializer/CHIRSerializer.cpp:172-303	132	typed annotation map; LinkTypeInfo; GetId; Serialize(DebugLocation); 13 annotation Create* APIs	Base and 13 Annotation union tables	no	Must port all handlers, WrappedRawMethod body branch, optional -1 sentinels, unknown-annotation abort, loc and raw attributes.
044	core	CHIRSerializerImpl::Serialize(MemberVarInfo)	src/CHIR/Serializer/CHIRSerializer.cpp:308-322	15	GetId(Type/Value/Def); Serialize(DebugLocation/AnnoInfo)	MemberVarInfo	yes	Schema argument order is name,rawMangledName,type,attributes,loc,annoInfo,initializerFunc,outerDef.
045	core	CHIRSerializerImpl::Serialize(EnumCtorInfo)	src/CHIR/Serializer/CHIRSerializer.cpp:324-329	6	GetId(Type); shared strings	EnumCtorInfo	yes	C++ passes only name,mangledName,funcType; schema annoInfo remains absent/default.
050	type	CHIRSerializerImpl::Serialize(Type)	src/CHIR/Serializer/CHIRSerializer.cpp:333-338	6	GetId(Type vector); CHIR type enum constants	Type	yes	Fields kind,argTys.
051	type	CHIRSerializerImpl::Serialize(RawArrayType)	src/CHIR/Serializer/CHIRSerializer.cpp:340-346	7	Serialize(Type)	RawArrayType	yes	Fields base,dims.
052	type	CHIRSerializerImpl::Serialize(VArrayType)	src/CHIR/Serializer/CHIRSerializer.cpp:348-354	7	Serialize(Type)	VArrayType	yes	Fields base,size.
053	type	CHIRSerializerImpl::Serialize(FuncType)	src/CHIR/Serializer/CHIRSerializer.cpp:356-363	8	Serialize(Type)	FuncType	yes	Fields base,isCFuncType,hasVarArg.
054	type	CHIRSerializerImpl::Serialize(CustomType)	src/CHIR/Serializer/CHIRSerializer.cpp:365-371	7	Serialize(Type); GetId(CustomTypeDef)	CustomType	yes	Fields base,customTypeDef.
055	type	CHIRSerializerImpl::Serialize(GenericType)	src/CHIR/Serializer/CHIRSerializer.cpp:373-382	10	Serialize(Type); GetId(Type vector); shared strings	GenericType	yes	Fields base,identifier,srcCodeIdentifier,upperBounds.
060	value	CHIRSerializerImpl::Serialize(Value)	src/CHIR/Serializer/CHIRSerializer.cpp:385-419	35	Serialize(Base); GetId(Type); ValueKind mapping	Value	yes	Seven explicit ValueKind cases plus abort default; importedness is an attribute.
061	value	CHIRSerializerImpl::Serialize(Parameter)	src/CHIR/Serializer/CHIRSerializer.cpp:421-431	11	Serialize(Value/AnnoInfo); GetId(Value/Expression)	Parameter	yes	Fields base,ownedFunc,ownedLambda,srcCodeIdentifier,annoInfo.
062	value	CHIRSerializerImpl::Serialize(LocalVar)	src/CHIR/Serializer/CHIRSerializer.cpp:433-441	9	Serialize(Value); GetId(Expression)	LocalVar	yes	Fields base,associatedExpr,isRetVal,srcCodeIdentifier.
063	value	CHIRSerializerImpl::Serialize(GlobalValue)	src/CHIR/Serializer/CHIRSerializer.cpp:443-456	14	Serialize(Value/AnnoInfo); GetId(Def); shared strings	GlobalValue	yes	Conditional declaredParent; features preserve set iteration order.
064	value	CHIRSerializerImpl::Serialize(GlobalVar)	src/CHIR/Serializer/CHIRSerializer.cpp:458-464	7	Serialize(GlobalValue); GetId(Value)	GlobalVar	yes	Initializer is 0 when absent.
065	value	CHIRSerializerImpl::Serialize(Block)	src/CHIR/Serializer/CHIRSerializer.cpp:466-476	11	Serialize(Value); GetId(Value/Expression/Type vectors)	Block	yes	Exception types emitted only for landing-pad blocks.
066	value	CHIRSerializerImpl::Serialize(BlockGroup)	src/CHIR/Serializer/CHIRSerializer.cpp:478-489	12	Serialize(Value); GetId(Value/Expression)	BlockGroup	yes	Assert owner func or owner expression; fields keep schema order.
067	value	CHIRSerializerImpl::Serialize(Function)	src/CHIR/Serializer/CHIRSerializer.cpp:491-528	38	Serialize(GlobalValue/DebugLocation); GetId(Type/Value); FuncSigInfo creator	Function; FuncSigInfo	yes	GenericDecl only when body exists; originalLambdaInfo only for typed lambda; body/ret only for body functions.
068	literal	CHIRSerializerImpl::Serialize(LiteralValue)	src/CHIR/Serializer/CHIRSerializer.cpp:530-536	7	Serialize(Value); ConstantValueKind	LiteralValue	yes	Fields base,literalKind.
069	literal	CHIRSerializerImpl::Serialize(BoolLiteral)	src/CHIR/Serializer/CHIRSerializer.cpp:539-545	7	Serialize(LiteralValue)	BoolLiteral	yes	Fields base,val.
070	literal	CHIRSerializerImpl::Serialize(RuneLiteral)	src/CHIR/Serializer/CHIRSerializer.cpp:547-553	7	Serialize(LiteralValue)	RuneLiteral	yes	Fields base,val uint32.
071	literal	CHIRSerializerImpl::Serialize(StringLiteral)	src/CHIR/Serializer/CHIRSerializer.cpp:555-562	8	Serialize(LiteralValue); CreateSharedString	StringLiteral	yes	String is explicitly shared/deduplicated.
072	literal	CHIRSerializerImpl::Serialize(IntLiteral)	src/CHIR/Serializer/CHIRSerializer.cpp:564-570	7	Serialize(LiteralValue)	IntLiteral	yes	Uses GetUnsignedVal into uint64.
073	literal	CHIRSerializerImpl::Serialize(FloatLiteral)	src/CHIR/Serializer/CHIRSerializer.cpp:572-578	7	Serialize(LiteralValue); Float64 table scalar support	FloatLiteral	yes	Schema default is 1.0, not 0.0.
074	literal	CHIRSerializerImpl::Serialize(UnitLiteral)	src/CHIR/Serializer/CHIRSerializer.cpp:580-585	6	Serialize(LiteralValue)	UnitLiteral	yes	Base only.
075	literal	CHIRSerializerImpl::Serialize(NullLiteral)	src/CHIR/Serializer/CHIRSerializer.cpp:587-592	6	Serialize(LiteralValue)	NullLiteral	yes	Base only.
080	expression	ToPackageExprKind(Expression)	src/CHIR/Serializer/CHIRSerializer.cpp:596-690	95	ExprKind/IntOpWithException; CHIR expr enum constants	CHIRExprKind tag	no	Full mapping includes nested 10-way integer-op switch and invalid mapping for FORIN/INVALID/MAX/default.
081	expression	CHIRSerializerImpl::Serialize(Expression)	src/CHIR/Serializer/CHIRSerializer.cpp:692-705	14	Serialize(Base); ToPackageExprKind; GetId(Value/Type)	Expression	yes	Fields base,kind,operands,blockGroups,owner,resultLocalVar,resultTy.
