PrintNode	ast	AST/PrintNode.cpp:1492;AST/PrintNode.cpp:1503;AST/PrintNode.cpp:1625	ast/src/PrintNode.cj:6;frontend/src/PrintSymbolTable.cj:95	FALSE_POSITIVE	match 分派已等价改写为仓颉的类型解包链；Node 非空类型折叠了 C++ 空指针早退。
CreateLitConstExpr	ast	AST/Create.cpp:551;Sema/Desugar/DesugarMacro.cpp:61;Sema/NativeFFI/Java/AfterTypeCheck/InteropLibBridge.cpp:749	ast/src/Create.cj:495;ast/src/Create.cj:501;ast/src/Create.cj:505	FALSE_POSITIVE	常量初始化分支集中折叠到 InitializeLitConstValue，覆盖整数/浮点/布尔等类型处理。
IsConst	ast	AST/Node.cpp:943;CHIR/Checker/ComputeAnnotations.cpp:329;CHIR/Checker/ComputeAnnotations.cpp:367	ast/src/DeclNodes.cj:144;incremental_compilation/src/CompilationCache.cj:530	FALSE_POSITIVE	C++ 多处/重载聚合；仓颉 IsConst 统一按 VarDecl、FuncDecl、PrimaryCtorDecl 解包判断。
CloneFuncDecl	ast	AST/Clone.cpp:157;Sema/Test/MockSupportManager.cpp:1769;Sema/Test/MockSupportManager.h:141	ast/src/Clone.cj:639	CONFIRMED	缺少 C++ AST/Clone.cpp:157 起的 funcBody 克隆、funcDecl 回指重置及属性/位置等字段复制。
CloneEnumDecl	ast	AST/Clone.cpp:315	ast/src/Clone.cj:702	CONFIRMED	缺少 C++ AST/Clone.cpp:315 起的 enum 成员、继承类型、generic/bodyScope 等字段和子节点克隆。
CloneExtendDecl	ast	AST/Clone.cpp:239	ast/src/Clone.cj:663	CONFIRMED	缺少 C++ AST/Clone.cpp:239 起的 extendedType、inheritedTypes、members、generic 与 bodyScope 克隆。
CreateBlock	ast	AST/Create.cpp:287;CHIR/AST2CHIR/TranslateASTNode/TranslateFuncDecl.cpp:259;CHIR/AST2CHIR/TranslateASTNode/TranslateIfExpr.cpp:352	ast/src/Create.cj:657;ast/src/Create.cj:661;chir/src/CHIRBuilder.cj:82	FALSE_POSITIVE	C++ 对 decl/expr 的两个分支执行相同 push；仓颉合并为 IsDecl() || IsExpr()，语义等价。
GetGenericTyArgs	ast	AST/Types.cpp:910;AST/Types.cpp:924	ast/src/Types.cj:623;ast/src/Types.cj:629	FALSE_POSITIVE	递归收集逻辑折叠到 collectGenericTyArgs/collectCandidateGenericTyArgs 辅助函数。
PostVisitor	ast	AST/ASTTypeValidator.cpp:45	ast/src/ASTTypeValidator.cj:85	FALSE_POSITIVE	仓颉将 C++ 的 checkStatus/目标有效性处理重构为 validateNode、范围栈和失败诊断分支。
CloneFuncBody	ast	AST/Clone.cpp:1369	ast/src/Clone.cj:584	CONFIRMED	仓颉仅复制通用字段并调用通用 copySpecific；缺少 C++ AST/Clone.cpp:1373-1389 的 paramLists、retType/body、generic、capturedVars、captureKind 和父级字段克隆/复制。
