id	cpp_file	cpp_line	platforms	cpp_condition_chain	block_responsibility	selfhost_evidence	selfhost_when	status	finding
PB001	Basic/DiagnosticEngine.cpp	27	Windows	27:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => #include <windows.h>	packages/basic/src/DiagnosticEngine.cj	NO	COVERED	无可执行平台分支；selfhost 不依赖 Windows 头文件。
PB002	Basic/DiagnosticEngine.cpp	133	ARM32	133:#ifdef __arm__ | 142:#else	平台块负责选择：#ifdef __arm__ => size_t beginHash = HashForPosition(begin);; #else => return (static_cast<size_t>(begin.fileID)) ^ (static_cast<size_t>(begin.line) << 8u) ^	packages/basic/src/DiagnosticEngine.cj	YES	COVERED	selfhost Range.Hash 以 @When[arch == "arm"] 镜像 ARM32 hash 分支。
PB003	Basic/Print.cpp	9	Windows	9:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => #include <windows.h>	packages/basic/src/Print.cj	NO	DIVERGENT	selfhost 固定 ANSI 字符串，未执行 Windows 控制台模式启用与恢复。
PB004	Basic/Print.cpp	40	Windows	40:#ifdef _WIN32 | 90:#else	平台块负责选择：#ifdef _WIN32 => const int WINDOWS_10_VERSION_1511_BUILD_NUMBER = 10586;; #else => ColorSingleton::ColorSingleton()	packages/basic/src/Print.cj	NO	DIVERGENT	selfhost 固定 ANSI 字符串，未执行 Windows 控制台模式启用与恢复。
PB005	Basic/StringConvertor.cpp	16	Windows	16:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => #include <limits>	packages/basic/src/StringConvertor.cj	NO	DIVERGENT	selfhost GBK/UTF-8 非 ASCII 转换返回 None，且 Windows-only API 未按平台隔离。
PB006	Basic/StringConvertor.cpp	25	Windows	25:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => std::optional<std::wstring> CodePageToUTF16(unsigned codepage, const std::string& original)	packages/basic/src/StringConvertor.cj	NO	DIVERGENT	selfhost GBK/UTF-8 非 ASCII 转换返回 None，且 Windows-only API 未按平台隔离。
PB007	Basic/StringConvertor.cpp	345	Windows	345:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => StringConvertor::StrEncoding StringConvertor::GetStringEncoding(const std::string& data)	packages/basic/src/StringConvertor.cj	NO	DIVERGENT	selfhost GBK/UTF-8 非 ASCII 转换返回 None，且 Windows-only API 未按平台隔离。
PB008	Basic/Utils.cpp	16	Windows	16:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => #include <windows.h>	packages/basic/src/Utils.cj	YES	COVERED	Windows GetOSVersion 及所需 FFI 在 selfhost 逐项存在。
PB009	Basic/Utils.cpp	134	Windows	134:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => typedef NTSTATUS(WINAPI* RtlGetVersionPtr)(PRTL_OSVERSIONINFOW);	packages/basic/src/Utils.cj	YES	COVERED	Windows GetOSVersion 及所需 FFI 在 selfhost 逐项存在。
PB010	CHIR/IR/DebugLocation.cpp	82	Windows	82:#ifdef _WIN32 | 84:#else	平台块负责选择：#ifdef _WIN32 => const std::string dirSeparator = "\\/";; #else => const std::string dirSeparator = "/";	packages/chir/src/DebugLocation.cj	NO	COVERED	selfhost 无分支但同时识别 / 与 \, 对两平台结果等价。
PB011	CHIR/IR/DebugLocation.cpp	96	Windows	96:#ifdef _WIN32 | 98:#else	平台块负责选择：#ifdef _WIN32 => const std::string dirSeparator = "\\/";; #else => const std::string dirSeparator = "/";	packages/chir/src/DebugLocation.cj	NO	COVERED	selfhost 无分支但同时识别 / 与 \, 对两平台结果等价。
